Type,Name ,TITLE,UUID,Omnia Code,Review Link (frame),NOTES
Partner,Hive Streaming,Surviving Change:Inclusive Employee Video Communication,WS20_3_779548542_PTH_MTC,5834df8c-d96a-425c-b2fd-037fa87abd31,https://f.io/gYT8c8FS,V2 COMPLETE 
Partner,Digital Hub Initiative,"Germany – punctual, serious…digital? Part 1",WS20_4_779548555_PTH_MTC,6215935f-717a-4391-87e2-f1bd2c39f4ed,https://f.io/xwicLdA7,added 24.11
Partner,Rangle.io,Does Creating Your Customer Experience Save You Money?,WS20_6_779548576_PTH_MTC,9a67bc45-9050-402b-a437-d7335ec40df7,https://f.io/NBluUEGF,V2 COMPLETE 
Partner,Siemens AG,AI with impact: Can AI create a more sustainable world?,WS20_7_779548592_PTH_MTC,f7f6ef56-bc93-43cc-be70-bd553568c41c,https://f.io/8vJ0nDx6,added 24.11
Partner,Tech.mt – Malta Leading Through Innovation,Malta as a Leading Tech Hub,WS20_8_779548600_PTH_MTC,09d82df4-0888-466e-9e22-a5245619d71b,https://f.io/AUN8npKU,added 24.11
Partner,Pantheon,Your website is a digital product,WS20_11_779548629_PTH_MTC,4f1dd221-9308-47d8-800e-1d2796a7c5b3,https://f.io/IaPeRs6m,
Partner,eToro,Retail Investors are reshaping the Investment Landscape,WS20_16_780050350_PTH_MTC,9f9ea596-d5f4-4591-adba-833aaea78ad4,https://f.io/lq56U2cy,added 26.11
Partner,AWS,AWS Loves Startups,WS20_23_780050401_PTH_MTC,31c40d74-6184-41c2-8360-6bf75afdff21,https://f.io/Ybjk8R9b,
Partner,AWS,Customer-driven essentials,WS20_24_780050408_PTH_MTC,9e97799e-bcff-41ea-b741-fb9d2a94fe7f,https://f.io/UTxtihll,added 24.11
Partner,AWS,Tools for building your MVP,WS20_25_780050415_PTH_MTC,8a535710-6778-40c9-ab21-b7b31fc13fa5,https://f.io/hLKzX5YE,added 24.11
Partner,AWS,Marketing Essentials to Build the right Startup Strategy,WS20_27_780050427_PTH_MTC,8a3e8207-9a6f-4ff9-86a7-0b8219d50cf7,https://f.io/G7QOHBk4,added 26.11
Partner,AWS,How to build a pitch winning deck,WS20_28_780050430_PTH_MTC,c2268cf1-52d9-4928-8366-967c3883822b,https://f.io/NJXcHrv8,added 26.11
Partner,AWS,Build a Cost Efficient Architecture,WS20_30_780050439_PTH_MTC,14f08adc-92f2-4048-a921-cdaf9bbfb124,https://f.io/1PDTQJ6F,
Partner,AWS,The Serverless Startup,WS20_31_780050445_PTH_MTC,9ff60fd8-27b2-40f6-999b-dd15cb320d6c,https://f.io/a28DVsNa,added 24.11
Partner,AWS,Amazon AI Services,WS20_32_780050451_PTH_MTC,be592590-32eb-48d2-9c4a-7511c77ea639,https://f.io/PuDA6sQ8,
Partner,Huawei,Green Telco: Huawei value proposition,WS20_33_780050458_PTH_MTC,31c9307e-e346-4760-b56e-fbe5b202724b,https://f.io/6xcakUx4,added 30.11
Partner,Huawei,Growing apps beyond borders: A pathway to success,WS20_34_780050465_PTH_MTC,533733f3-4999-494c-af8b-455f5788431f,https://f.io/01X3s9di,
Partner,Huawei,Connect your customers with Huawei Business Connect,WS20_35_780050469_PTH_MTC,fcfd99ca-4156-4857-8789-9cf9fbc5ff92,https://f.io/LdwIfORR,
Partner,Huawei,Huawei AppGallery Connect: New intelligent development,WS20_36_780050353_PTH_MTC,0b18a96b-73fc-46e5-96e2-ed80b58d00b0,https://f.io/2j85DZt2,
Partner,Huawei,"Huawei Content Connect: Create to connect, engage to inspire",WS20_37_780050359_PTH_MTC,09b6a29a-d9a0-447c-b3b8-c3be5bdc0885,https://f.io/g4QDze3X,
Partner,Huawei,Petal Maps: A new way to let the world discover you,WS20_38_780050367_PTH_MTC,2e6744d8-b1b7-4f64-b906-5c74e9e354e3,https://f.io/cCMPrJWL,added 26.11
Partner,Huawei,"Empowering lifestyle, with Huawei AppGallery",WS20_39_780050375_PTH_MTC,8fe2a195-1f0a-48d2-a01b-a9dc3fb6943c,https://f.io/eFJCJUPA,
Partner,Huawei,We need more women leaders in the digital era,WS20_40_780050383_PTH_MTC,14e45ae1-b0a1-4271-ae0a-bd6bc330f4aa,https://f.io/McBePzd4,
Partner,Huawei,Grow your business with Petal Search,WS20_41_780050392_PTH_MTC,a1466a70-1cd4-4a72-9b79-cc0c1c2fd6ce,https://f.io/WOogv_oP,
Partner,Huawei,Powering digital inclusion with technology,WS20_42_780050400_PTH_MTC,44cb6234-b3b2-4e48-b071-13ae08517639,https://f.io/gSySmwBn,added 26.11
Partner,Huawei,Tech4All: Ireland marine protection,WS20_43_780050410_PTH_MTC,5882e2a1-a160-46f4-9e23-eb7d09d0b95a,https://f.io/7ZEP09-v,
Partner,Huawei,HMS Core: Building open software/hardware capabilities,WS20_44_780050416_PTH_MTC,ddf7a80e-3cf8-457a-8921-839a1e4b4b88,https://f.io/nhBmCMYF,
Partner,Huawei,Sustainability challenges in the telecom industry,WS20_45_780050422_PTH_MTC,f005b0bd-a912-4c7f-9ec8-9a682c3f4a64,https://f.io/Z02jmv3t,added 26.11
Partner,Huawei,Overcoming gender imbalance and empowering women in the tech industry,WS20_46_780050428_PTH_MTC,dca8426b-9272-4a4f-92a9-939c854fbfff,https://f.io/ahqsjYqT,
Partner,Huawei,Partnership for financial inclusion,WS20_47_780050435_PTH_MTC,0724c294-5a9f-4a17-9672-da3777cb130b,https://f.io/einiAA28,
Partner,Huawei,Tech for nature conservation and cultural preservation,WS20_48_780050441_PTH_MTC,d1682e03-5352-410f-86da-04854cafe889,https://f.io/4PYnpdcB,
Partner,Huawei,Women who work with developers,WS20_49_780050449_PTH_MTC,e923dbb5-0622-4b6c-afe4-8d0cfb75f9e1,https://f.io/w7L7gye6,added 26.11
Partner,Huawei,Grow your business with Huawei Ads,WS20_50_780050455_PTH_MTC,6657d2f2-8634-4436-823f-0f3e605b6f8f,https://f.io/eFbHJzGh,
Partner,Huawei,Expand user reach with Huawei Assistant and Huawei Ability Gallery,WS20_51_780050463_PTH_MTC,c0bfc36a-e1f9-45d7-93ee-d91cb1d0e79c,https://f.io/tBrZ3as5,
Partner,Huawei,Music and technology for good,WS20_52_780050470_PTH_MTC,aad95846-7949-45dc-a267-71735ddd74fc,https://f.io/CmvyYOWO,
Partner,Huawei,"Grow in China, win with AppGallery",WS20_53_780050477_PTH_MTC,4b078a43-1253-41e7-9920-fb4ce3023480,https://f.io/YYod7Oxt,added 26.11
Partner,Huawei,Explore the changing world of ecommerce,WS20_126_858026947_PTH_MTC,7e42cf6e-d738-47c3-959f-cc6f66248db4,https://f.io/tME350ML,
Partner,Digital Hub Initiative,"Germany: Punctual, serious…digital? - Part 2",WS20_54_780050483_PTH_MTC,bac6ea78-95a8-4f36-be6b-080bcff678e9,https://f.io/t0sSjB2h,added 24.11
Partner,SIEMENS,From head to helmet through 3D printing,WS20_56_780050352_PTH_MTC,1ab4eba3-0953-4053-b01c-766ad504a906,https://f.io/OjGoNN29,V2 COMPLETE 
Partner,Cisco,"Future Tech, Made Simple",WS20_57_780050357_PTH_MTC,bb355c16-da16-49f2-825d-04b2051d8803,https://f.io/CKQftKCY,
Partner,GoWithFlow (Galp),Sustainable Mobility: Changing the Way We Move,WS20_58_780050364_PTH_MTC,8ce77e7c-50e5-42a8-aa3b-fa79c9f34a46,https://f.io/ZFW0gQpd,V2 COMPLETE 
Partner,BP,How to build an inclusive innovation culture,WS20_59_780050371_PTH_MTC,3ea12f0d-0655-49ab-aac0-5f3eab3d2494,https://f.io/RSz6_N-j,V2 COMPLETE 
Partner,SENSORIUM,New era of virtual ethics,WS20_61_780050390_PTH_MTC,1112c045-10e4-4067-8231-0e06e44f744a,https://f.io/tYUN4ZjT,added 24.11
Partner,Startup Portugal (Landing.jobs),Attracting the right tech talent,WS20_64_780050412_PTH_MTC,bf42f215-b78d-472c-8787-0388dfefab2e,https://f.io/F1tZqmj1,
Partner,Google,Boost Your Entrepreneurship Skills with Women Will,WS20_79_780050472_PTH_MTC,2ffb004a-d08b-4d75-9464-3142e1ca8d24,https://f.io/06GR_kat,V2 COMPLETE 
Partner,Lisbon Municipality (CML/Startup Lisboa),Women4Climate–leading the way for a sustainable future,WS20_83_780050492_PTH_MTC,5be36f6c-cfc8-4931-885c-95cad9920d65,https://f.io/5TNtI5ry,added 24.11
Partner,Lisbon Municipality (CML/Startup Lisboa),Healthtech Lisboa: a new venture builder,WS20_88_780050490_PTH_MTC,5836c381-a270-4fc6-8e34-67b371b0dff9,https://f.io/9hnIboAn,
Partner,fi group,A quick-step to create a innovation project in Portugal,WS20_100_780050377_PTH_MTC,111885f6-4817-43ef-9c1a-be9830b817e5,https://f.io/UKGoCohA,added 24.11
Partner,CM . com ,From conversation to conversion,WS20_107_780050550_PTH_MTC,bfe0a4b9-150e-470d-be65-5a918297f957,https://f.io/0KSLKHYl,NEW ADDITION COMPLETE
,,,,,,
Startup,Tim Draper / Matt Carbonara,Pitching Masterclass,WS20_1_791352310_STU_MTC,87c0f80b-fe4f-4c7c-90c8-743f65413ca2,https://f.io/x5KShNn9,
Startup,Renata Quintini/Claudine Emeott,Pitching Masterclass,WS20_2_791352319_STU_MTC,3184f29d-aa0e-4569-a597-40073abad125,https://f.io/cvqFjcgB,added 30.11
Startup,Vasile Foca/Kyran Schmidt/BeatriceAliprandi,Pitching Masterclass,WS20_3_791352332_STU_MTC,e8b2cecf-d95c-4978-ade6-fb3bb07f8cb9,https://f.io/x0nwHhLO,
Startup,Dilan Landgraff,A quick guide to responsible investing in venture capital ,WS20_6_791352363_STU_MTC,19dff36d-e333-460a-a894-24a111f8fdad,https://f.io/NfaHQqtR,